SITE.N,OLD SITE.N,SITE,HAB,HAB2,HAB3,DEPTH,E.UTM1,N.UTM1,E.UTM2,N.UTM2,ACCUR.H,ELEVAT,,,,,,,,
BEF.FBL.008,BEF.FBL.008,X-DOOR BOATHOUSE TO BALCONY BOATHOUSE,S,,,,180505886,4828530,180505727,4828198,,,,,,,,,,
BEF.FBL.009,BEF.FBL.009,CANACHAGALA BAY,S,,,,180505727,4828198,180505645,4828051,,,,,,,,,,
BEF.FBL.010,BEF.FBL.010,CANACHAGALA BAY TO SINGLE DOOR BOATHOUSE,RW,,,,180505645,4828051,180505462,4827790,,,,,,,,,,
BEF.FBL.011,BEF.FBL.011,SINGLE DOOR BOATHOUSE TO GNARLY MAPLE,SW,,,,180505462,4827790,180505222,4827453,,,,,,,,,,
BEF.FBL.012,BEF.FBL.012,GNARLY MAPLE TO ROUGHCUT BOATHOUSE,SW,,,,180505222,4827453,180505091,4827357,,,,,,,,,,
BEF.FBL.013,BEF.FBL.013,WOODS POINT,S,,,,180505091,4827357,1850504941,4827483,,,,,,,,,,
BEF.FBL.014,BEF.FBL.014,OUTLET BAY,S,,,,180504941,4827483,180504840,4827505,,,,,,,,,,
BEF.FBL.015,BEF.FBL.015,ANNABELLE'S RUN,S,,,,180504840,4827505,180505282,4828042,,,,,,,,,,
BEF.FBL.016,BEF.FBL.016,LODGE,S,,,,,,,,,,,,,,,,,
BEF.FBL.017,BEF.FBL.017,BIG ROCKS,R,,,,,,,,,,,,,,,,,
BEF.FBL.018,BEF.FBL.018,ROSS TO TAYLOR,S,,,,,,,,,,,,,,,,,
BEF.FBL.019,BEF.FBL.019,TAYLOR TO BIG ROCKS,RW,,,,,,,,,,,,,,,,,
BEF.FBL.020,BEF.FBL.020,BIG ROCKS TO SAXON,S,,,,,,,,,,,,,,,,,
BEF.FBL.021,BEF.FBL.021,SAXON TO ROCK CLIFF,RW,,,,,,,,,,,,,,,,,
BEF.FBL.022,BEF.FBL.022,ROCK CLIFF TO ROCK CUT,RW,,,,,,,,,,,,,,,,,
BEF.FBL.023,BEF.FBL.023,ROCK CUT TO FIRST BRUSHPILE,S,,,,,,,,,,,,,,,,,
BEF.FBL.024,BEF.FBL.024,FIRST BRUSHPILE TO SECOND BRUSHPILE,SW,,,,,,,,,,,,,,,,,
BEF.FBL.025,BEF.FBL.025,SECOND BRUSHPILE TO DUPREE,S,,,,,,,,,,,,,,,,,
BEF.FBL.026,BEF.FBL.026,DUPREE TO BOSTWICK,R,,,,,,,,,,,,,,,,,
BEF.FBL.027,BEF.FBL.027,BOSTWICK TO CANACHAGALA LANDING,S,,,,,,,,,,,,,,,,,
BEF.FBL.028,BEF.FBL.028,CANACHAGALA LANDING TO BEFORE TRIB 1,R,,,,,,,,,,,,,,,,,
BEF.FBL.029,BEF.FBL.029,BEFORE TRIB 1  TO BLOWDOWNS,S,,,,,,,,,,,,,,,,,
BEF.FBL.030,BEF.FBL.030,BLOWDOWNS TO TRIB 6,SW,,,,,,,,,,,,,,,,,
BEF.FBL.031,BEF.FBL.031,TRIB 6 TO WOODY COVE,SW,,,,,,,,,,,,,,,,,
BEF.FBL.032,BEF.FBL.032,WOODY COVE,SW,,,,,,,,,,,,,,,,,
BEF.FBL.033,BEF.FBL.033,WOODS POINT,S,,,,,,,,,,,,,,,,,
BEF.FBL.034,BEF.FBL.034,WOOD'S CAMP SHORELINE,SW,,,,,,,,,,,,,,,,,
BEF.FBL.035,BEF.FBL.035,OUTLET BAY,SW,,,,,,,,,,,,,,,,,
BEF.FBL.036,BEF.FBL.036,OUTLET BAY TO TAMARACK BLOWDOWN,S,,,,,,,,,,,,,,,,,
BEF.FBL.037,BEF.FBL.037,TAMARACK BLOWDOWN TO CALL CAMP,S,,,,,,,,,,,,,,,,,
BEF.FBL.038,BEF.FBL.038,CALL TO CAREY,S,,,,,,,,,,,,,,,,,
BEF.FBL.039,BEF.FBL.039,CAREY TO  POINT,S,,,,,,,,,,,,,,,,,
BEF.FBL.040,BEF.FBL.040,BOATHOUSE DOCKS,RD,,,,,,,,,,,,,,,,,
BEF.FBL.041,BEF.FBL.041,ROCKS BY ROSS CAMP,R,,,,,,,,,,,,,,,,,
BEF.FBL.042,BEF.FBL.042,SAXON BOATHOUSE DOCKS,RD,,,,,,,,,,,,,,,,,
BEF.FBL.043,BEF.FBL.043,SISLER BOATHOUSE DOCKS,RW,,,,,,,,,,,,,,,,,
BEF.FBL.044,BEF.FBL.044,SUNKEN CRIB AND DOCK NEAR DUPREE CAMP,RC,,,,,,,,,,,,,,,,,
BEF.FBL.045,BEF.FBL.045,MEEKER BOATHOUSE,UNK,,,,,,,,,,,,,,,,,
BEF.FBL.046,BEF.FBL.046,WOODS CAMP BOAHOUSE DOCKS,RD,,,,,,,,,,,,,,,,,
BEF.FBL.047,BEF.FBL.047,HARRISON BOATHOUSE DOCKS,RC,,,,,,,,,,,,,,,,,
BEF.FBL.048,BEF.FBL.048,HALSEY BOATHOUSE DOCK AND SUNKEN DOCK,RD,,,,,,,,,,,,,,,,,
BEF.FBL.049,BEF.FBL.049,SLINGLUFF BOATHOUSE,RD,,,,,,,,,,,,,,,,,
BEF.FBL.101,BEF.FBL.101,QEF.101,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.102,BEF.FBL.102,QEF.102,S,,,,,,,,,,,,,,,,,
BEF.FBL.103,BEF.FBL.103,QEF.103,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.104,BEF.FBL.104,QEF.104,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.105,BEF.FBL.105,QEF.105,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.106,BEF.FBL.106,QEF.106,S,,,,,,,,,,,,,,,,,
BEF.FBL.107,BEF.FBL.107,QEF.107,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.108,BEF.FBL.108,QEF.108,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.109,BEF.FBL.109,QEF.109,S,,,,,,,,,,,,,,,,,
BEF.FBL.110,BEF.FBL.110,QEF.110,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.111,BEF.FBL.111,QEF.111,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.112,BEF.FBL.112,QEF.112,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.113,BEF.FBL.113,QEF.113,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.114,BEF.FBL.114,QEF.114,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.115,BEF.FBL.115,QEF.115,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.116,BEF.FBL.116,QEF.116,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.117,BEF.FBL.117,QEF.117,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.118,BEF.FBL.118,QEF.118,RW,,,,,,,,,,,,,,,,,
BEF.FBL.119,BEF.FBL.119,QEF.119,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.120,BEF.FBL.120,QEF.120,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.121,BEF.FBL.121,QEF.121,S,,,,,,,,,,,,,,,,,
BEF.FBL.122,BEF.FBL.122,QEF.122,SW,,,,,,,,,,,,,,,,,
BEF.FBL.123,BEF.FBL.123,QEF.123,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.124,BEF.FBL.124,QEF.124,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.125,BEF.FBL.125,QEF.125,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.126,BEF.FBL.126,QEF.126,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.127,BEF.FBL.127,QEF.127,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.128,BEF.FBL.128,QEF.128,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.129,BEF.FBL.129,QEF.129,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.130,BEF.FBL.130,QEF.130,SD,,,,,,,,,,,,,,,,,
BEF.FBL.131,BEF.FBL.131,QEF.131,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.132,BEF.FBL.132,QEF.132,SD,,,,,,,,,,,,,,,,,
BEF.FBL.133,BEF.FBL.133,QEF.133,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.134,BEF.FBL.134,QEF.134,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.135,BEF.FBL.135,QEF.135,SW,,,,,,,,,,,,,,,,,
BEF.FBL.136,BEF.FBL.136,QEF.136,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.137,BEF.FBL.137,QEF.137,RW,,,,,,,,,,,,,,,,,
BEF.FBL.138,BEF.FBL.138,QEF.138,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.139,BEF.FBL.139,QEF.139,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.140,BEF.FBL.140,QEF.140,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.141,BEF.FBL.141,QEF.141,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.142,BEF.FBL.142,QEF.142,S,,,,,,,,,,,,,,,,,
BEF.FBL.143,BEF.FBL.143,QEF.143,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.144,BEF.FBL.144,QEF.144,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.145,BEF.FBL.145,QEF.145,SD,,,,,,,,,,,,,,,,,
BEF.FBL.146,BEF.FBL.146,QEF.146,S,,,,,,,,,,,,,,,,,
BEF.FBL.147,BEF.FBL.147,QEF.147,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.148,BEF.FBL.148,QEF.148,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.149,BEF.FBL.149,QEF.149,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.150,BEF.FBL.150,QEF.150,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.151,BEF.FBL.151,QEF.151,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.152,BEF.FBL.152,QEF.152,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.153,BEF.FBL.153,QEF.153,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.154,BEF.FBL.154,QEF.154,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.155,BEF.FBL.155,QEF.155,S,,,,,,,,,,,,,,,,,
BEF.FBL.156,BEF.FBL.156,QEF.156,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.157,BEF.FBL.157,QEF.157,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.158,BEF.FBL.158,QEF.158,S,,,,,,,,,,,,,,,,,
BEF.FBL.159,BEF.FBL.159,QEF.159,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.160,BEF.FBL.160,QEF.160,SW,,,,,,,,,,,,,,,,,
BEF.FBL.161,BEF.FBL.161,QEF.161,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.162,BEF.FBL.162,QEF.162,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.163,BEF.FBL.163,QEF.163,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.164,BEF.FBL.164,QEF.164,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.165,BEF.FBL.165,QEF.165,SW,,,,,,,,,,,,,,,,,
BEF.FBL.166,BEF.FBL.166,QEF.166,SW,,,,,,,,,,,,,,,,,
BEF.FBL.167,BEF.FBL.167,QEF.167,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.168,BEF.FBL.168,QEF.168,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.169,BEF.FBL.169,QEF.169,SW,,,,,,,,,,,,,,,,,
BEF.FBL.170,BEF.FBL.170,QEF.170,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.171,BEF.FBL.171,QEF.171,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.172,BEF.FBL.172,QEF.172,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.173,BEF.FBL.173,QEF.173,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.174,BEF.FBL.174,QEF.174,SD,,,,,,,,,,,,,,,,,
BEF.FBL.175,BEF.FBL.175,QEF.175,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.176,BEF.FBL.176,QEF.176,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.177,BEF.FBL.177,QEF.177,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.178,BEF.FBL.178,QEF.178,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.179,BEF.FBL.179,QEF.179,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.180,BEF.FBL.180,QEF.180,S,,,,,,,,,,,,,,,,,
BEF.FBL.181,BEF.FBL.181,QEF.181,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.182,BEF.FBL.182,QEF.182,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.183,BEF.FBL.183,QEF.183,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.184,BEF.FBL.184,QEF.184,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.185,BEF.FBL.185,QEF.185,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.186,BEF.FBL.186,QEF.186,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.187,BEF.FBL.187,QEF.187,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.188,BEF.FBL.188,QEF.188,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.189,BEF.FBL.189,QEF.189,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.190,BEF.FBL.190,QEF.190,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.191,BEF.FBL.191,QEF.191,S,,,,,,,,,,,,,,,,,
BEF.FBL.192,BEF.FBL.192,QEF.192,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.193,BEF.FBL.193,QEF.193,SV,,,,,,,,,,,,,,,,,
BEF.FBL.194,BEF.FBL.194,QEF.194,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.195,BEF.FBL.195,QEF.195,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.196,BEF.FBL.196,QEF.196,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.197,BEF.FBL.197,QEF.197,S,,,,,,,,,,,,,,,,,
BEF.FBL.198,BEF.FBL.198,QEF.198,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.199,BEF.FBL.199,QEF.199,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.200,BEF.FBL.200,QEF.200,S,,,,,,,,,,,,,,,,,
BEF.FBL.201,BEF.FBL.201,QEF.201,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.202,BEF.FBL.202,QEF.202,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.203,BEF.FBL.203,QEF.203,SV,,,,,,,,,,,,,,,,,
BEF.FBL.204,BEF.FBL.204,QEF.204,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.205,BEF.FBL.205,QEF.205,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.206,BEF.FBL.206,QEF.206,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.207,BEF.FBL.207,QEF.207,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.208,BEF.FBL.208,QEF.208,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.209,BEF.FBL.209,QEF.209,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.210,BEF.FBL.210,QEF.210,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.211,BEF.FBL.211,QEF.211,SV,,,,,,,,,,,,,,,,,
BEF.FBL.212,BEF.FBL.212,QEF.212,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.213,BEF.FBL.213,QEF.213,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.214,BEF.FBL.214,QEF.214,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.215,BEF.FBL.215,QEF.215,S,,,,,,,,,,,,,,,,,
BEF.FBL.216,BEF.FBL.216,QEF.216,SR,,,,,,,,,,,,,,,,,
BEF.FBL.217,BEF.FBL.217,QEF.217,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.218,BEF.FBL.218,QEF.218,#N/A,,,,,,,,,,,,,,,,,
BEF.FBL.219,BEF.FBL.219,QEF.219,S,,,,,,,,,,,,,,,,,
BEF.FBL.220,BEF.FBL.220,QEF.220,#N/A,,,,,,,,,,,,,,,,,
BEF.HAL.001,,NAF,SW,,,,510457,4820343,,,,,,,,,,,,
BEF.HAL.002,,NAF,S,,,,510504,4820325,,,,,,,,,,,,
BEF.HAL.003,,NAF,R,,,,510579,4820292,,,,,,,,,,,,
BEF.HAL.004,,NAF,SW,,,,510628,4820311,,,,,,,,,,,,
BEF.HAL.005,,NAF,RW,,,,510825,4820229,,,,,,,,,,,,
BEF.HAL.006,,NAF,SW,,,,511417,4819976,,,,,,,,,,,,
BEF.HAL.007,,NAF,RW,,,,511901,4819829,,,,,,,,,,,,
BEF.HAL.008,,NAF,R,,,,512179,4819821,,,,,,,,,,,,
BEF.HAL.009,,NAF,RW,,,,512196,4819839,,,,,,,,,,,,
BEF.HAL.010,,NAF,R,,,,512715,4819712,,,,,,,,,,,,
BEF.HAL.011,,NAF,SW,,,,512730,4819734,,,,,,,,,,,,
BEF.HAL.012,,NAF,RW,,,,512908,4819702,,,,,,,,,,,,
BEF.HAL.013,,NAF,R,,,,513327,4819658,,,,,,,,,,,,
BEF.HAL.014,,NAF,S,,,,513853,4819627,,,,,,,,,,,,
BEF.HAL.015,,NAF,RW,,,,514194,4819562,,,,,,,,,,,,
BEF.HAL.016,,NAF,R,,,,514464,4819534,,,,,,,,,,,,
BEF.HAL.017,,NAF,RW,,,,514868,4819502,,,,,,,,,,,,
BEF.HAL.018,,NAF,R,,,,515267,4819354,,,,,,,,,,,,
BEF.HAL.019,,NAF,RW,,,,515299,4819084,,,,,,,,,,,,
BEF.HAL.020,BEF.HAL.002,NAF,R,,,,515374,4818564,,,,,,,,,,,,
BEF.HAL.021,BEF.HAL.001,NAF,RW,,,,515552,4818456,,,,,,,,,,,,
BEF.HAL.022,BEF.HAL.003,NAF,S,,,,515741,4818666,,,,,,,,,,,,
BEF.HAL.023,,NAF,S,,,,516037,4818174,,,,,,,,,,,,
BEF.HAL.024,,NAF,S,,,,516059,4817680,,,,,,,,,,,,
BEF.HAL.025,,NAF,S,,,,515602,4817338,,,,,,,,,,,,
BEF.HAL.026,,NAF,SW,,,,515252,4817150,,,,,,,,,,,,
BEF.HAL.027,,NAF,S,,,,514956,4816872,,,,,,,,,,,,
BEF.HAL.028,,NAF,R,,,,514885,4816989,,,,,,,,,,,,
BEF.HAL.029,,NAF,S,,,,514981,4817131,,,,,,,,,,,,
BEF.HAL.030,,NAF,RW,,,,514969,4817345,,,,,,,,,,,,
BEF.HAL.031,,NAF,S,,,,514986,4817467,,,,,,,,,,,,
BEF.HAL.032,,NAF,SW,,,,515119,4818089,,,,,,,,,,,,
